# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 171K of event 'task-clock:ppp'
# Event count (approx.): 42928250000
#
# Overhead  Command         Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ..............  ....................  ......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    52.34%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] GA2OptOmp::crossover(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)::{lambda(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)#1}::operator()(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&) const
    21.71%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] total_distance(std::vector<int, std::allocator<int> > const&, DistanceMatrix const&)
    10.40%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] two_opt(std::vector<int, std::allocator<int> >, DistanceMatrix const&, int)
     4.30%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000258a2
     3.51%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] GA2OptOmp::run() [clone ._omp_fn.0]
     2.57%  tsp_ga2opt_omp  libc.so.6             [.] __memmove_avx_unaligned_erms
     1.03%  tsp_ga2opt_omp  libc.so.6             [.] cfree@GLIBC_2.2.5
     0.82%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] GA2OptOmp::mutate_and_local_search(Individual, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, double, int)
     0.51%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
     0.44%  tsp_ga2opt_omp  libc.so.6             [.] malloc
     0.37%  tsp_ga2opt_omp  libc.so.6             [.] _int_free
     0.33%  tsp_ga2opt_omp  libgomp.so.1.0.0      [.] 0x00000000000128bc
     0.26%  tsp_ga2opt_omp  tsp_ga2opt_omp        [.] std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
     0.21%  tsp_ga2opt_omp  libc.so.6             [.] __memset_avx2_unaligned_erms
